title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
The Mummy,movie,"Action, Adventure, Fantasy",1999.0,7.1,474225.0,"AD, AE, AG, AL, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, CA, CH, CI, CL, CO, CR, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LT, LV, LY, MA, MC, MD, MK, MT, MX, MZ, NE, NG, NL, NO, NZ, OM, PA, PE, PF, PG, PL, PS, PT, PY, QA, RO, RS, SA, SE, SI, SK, SV, TC, TN, TR, TT, UG, UY, VE, YE, ZA, ZM"
The Conversation,movie,"Drama, Mystery, Thriller",1974.0,7.7,126037.0,"AD, ES"
The Terminal,movie,"Comedy, Drama, Romance",2004.0,7.4,506938.0,"AD, ES, IN, SN"
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982.0,7.9,447523.0,"AE, AG, AL, AO, AR, AT, BA, BB, BE, BF, BH, BM, BO, BR, BS, BZ, CA, CD, CI, CL, CM, CO, CR, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, GF, GH, GR, GT, GY, HK, HN, HR, HU, ID, IL, IQ, JM, JO, KE, KR, KW, LB, LC, LT, LV, LY, MA, MD, MG, MK, ML, MT, MW, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PS, PT, PY, QA, RS, SA, SG, SK, SN, SV, TC, TD, TH, TN, TT, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
The Matrix,movie,"Action, Sci-Fi",1999.0,8.7,2111967.0,"AD, AG, AR, BB, BM, BO, BR, BS, BZ, CI, CL, CO, CR, DO, EC, ES, GB, GG, GH, GI, GT, GY, HN, IE, IN, JM, JP, KE, LC, MX, MZ, NE, NG, NI, PA, PE, PY, SV, TC, TT, UG, UY, VE, ZA, ZM"
The Matrix Reloaded,movie,"Action, Sci-Fi",2003.0,7.2,643560.0,"AD, CI, ES, GB, GG, GH, GI, IE, IN, JP, KE, MZ, NE, NG, UG, ZA, ZM"
The Matrix Revolutions,movie,"Action, Sci-Fi",2003.0,6.7,553850.0,"AD, AG, AR, BB, BM, BO, BR, BS, CI, CL, CO, CR, DO, EC, ES, GB, GG, GH, GI, GT, HN, IE, IN, JM, JP, KE, LC, MX, MZ, NE, NG, PA, PE, PY, SV, TC, TT, UG, UY, VE, ZA, ZM"
Ghostbusters,movie,"Action, Comedy, Fantasy",1984.0,7.8,463953.0,"AD, AG, AR, BB, BM, BO, BR, BS, CL, CO, CR, CY, DO, EC, ES, GT, HN, JM, JP, LC, MX, NL, PA, PE, PT, PY, SV, TC, TT, UY, VE"
The Ninth Gate,movie,"Mystery, Thriller",1999.0,6.7,201842.0,"AG, AR, BB, BM, BO, BR, BS, CA, CL, CO, CR, DO, EC, ES, GB, GG, GT, HN, IT, JM, LC, MX, PA, PE, PY, SV, TC, TT, US, UY, VE"
A Fish Called Wanda,movie,"Comedy, Crime",1988.0,7.5,157044.0,"AD, ES, HK, ID, MY, PH, SG, TH, TW"
