title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"A Dark Truth",movie,"Action, Drama, Thriller",2012,tt2083379,5.6,6357,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"De Marathon",movie,"Comedy, Drama, Sport",2012,tt2401621,7.5,7718,NL
"We're the Millers",movie,"Comedy, Crime",2013,tt1723121,7,498210,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
"No One Dies in Lily Dale",movie,"Documentary, Drama, History",2011,tt1609145,5.6,161,"AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NO, PA, PE, PH, PL, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
"Fire with Fire",movie,"Action, Crime, Mystery",2012,tt1925431,5.6,27827,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Haute Cuisine",movie,"Biography, Comedy",2012,tt2094877,6.4,7004,"FR, MC"
"In Pursuit of Honor",movie,"Drama, Western",1995,tt0113399,7,1795,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
"Kung Fu Panda 3",movie,"Action, Adventure, Animation",2016,tt2267968,7.1,198403,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"The Return of Bulldog Drummond",movie,"Action, Mystery, Thriller",1934,tt0025710,5.5,401,US
"City on Fire",movie,"Action, Drama",1979,tt0078976,4.4,1660,"BA, BG, CZ, HR, HU, MD, ME, MK, NL, PL, RO, RS, SI, SK"
"Chasing Rainbows",movie,Comedy,2012,tt1872167,7,667,"MD, RO"
"I Wake Up Yesterday",movie,"Comedy, Sci-Fi",2012,tt2321471,6.2,556,"CZ, SK"
"Beauty in Trouble",movie,"Comedy, Drama",2006,tt0449303,6.7,1033,"CZ, SK"
Primo,movie,Drama,2005,tt0466932,7.5,179,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
