title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
The Matrix,movie,"Action, Sci-Fi",1999.0,8.7,2111967.0,"AD, BA, BG, CA, CH, CZ, DK, ES, FI, GB, GG, HR, HU, IE, IN, IT, JP, MD, ME, MK, NO, PL, PT, RO, RS, SE, SI, SK, SM"
The Matrix Reloaded,movie,"Action, Sci-Fi",2003.0,7.2,643560.0,"AD, DK, ES, FI, GB, GG, IE, IN, JP, NO, PT, SE"
The Matrix Revolutions,movie,"Action, Sci-Fi",2003.0,6.7,553850.0,"AD, DK, ES, FI, GB, GG, IE, IN, JP, NO, PT, SE"
Men in Black,movie,"Action, Adventure, Comedy",1997.0,7.3,628293.0,"AD, AE, AU, BE, BH, CH, DK, DZ, EE, EG, ES, FI, FJ, FR, GF, HK, ID, IL, IN, IQ, JO, KW, LB, LT, LU, LV, LY, MA, MC, MU, MY, NL, NO, NZ, OM, PF, PH, PK, PS, PT, QA, SA, SE, SG, TH, TN, TW, YE"
Men in Black II,movie,"Action, Adventure, Comedy",2002.0,6.2,412911.0,"AD, AE, AU, BE, BH, CH, DK, DZ, EG, ES, FI, FJ, FR, GF, HK, ID, IQ, JO, KW, LB, LU, LY, MA, MC, MU, MY, NL, NO, NZ, OM, PF, PH, PS, PT, QA, SA, SE, SG, TH, TN, TW, YE"
Munich,movie,"Drama, History, Thriller",2005.0,7.5,243899.0,"AD, AE, AL, AO, AT, AU, AZ, BA, BE, BG, BH, BY, CH, CI, CM, CV, CZ, DE, DK, DZ, EG, ES, FI, FR, GB, GF, GH, GI, GQ, GR, HR, HU, IE, IL, IN, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MZ, NE, NG, NL, NO, NZ, OM, PF, PK, PL, PS, PT, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TD, TN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
The Bodyguard,movie,"Drama, Music, Romance",1992.0,6.4,151528.0,"AD, CH, ES, IT, JP, PT, SM"
Troy,movie,"Adventure, Drama",2004.0,7.3,584095.0,"AD, ES, GB, GG, HR, IE, KR, PT"
Pulp Fiction,movie,"Crime, Drama",1994.0,8.9,2284682.0,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BE, BG, BH, BO, BR, BY, BZ, CH, CI, CL, CM, CO, CR, CV, CZ, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GB, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
Shaun of the Dead,movie,"Comedy, Horror",2004.0,7.9,610326.0,"AD, AE, AL, AU, AZ, BA, BE, BG, BH, BY, CA, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, FR, GB, GF, GG, GI, GR, HK, HR, HU, IE, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, NO, NZ, OM, PF, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
