title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
The Shining,movie,"Drama, Horror",1980.0,8.4,1143534.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, UY, VE"
Top Gun,movie,"Action, Drama",1986.0,6.9,516935.0,"AD, DK, ES, FI, NO, PT, SE"
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005.0,8.1,1200554.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009.0,7.6,613598.0,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Goodfellas,movie,"Biography, Crime, Drama",1990.0,8.7,1296143.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NL, NO, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Gone with the Wind,movie,"Drama, Romance, War",1939.0,8.2,341016.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
Austin Powers in Goldmember,movie,"Action, Adventure, Comedy",2002.0,6.2,226703.0,"AD, ES"
The Mask,movie,"Comedy, Crime, Fantasy",1994.0,7.0,435909.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Singin' in the Rain,movie,"Comedy, Musical, Romance",1952.0,8.3,267707.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
Gremlins,movie,"Comedy, Fantasy, Horror",1984.0,7.3,256074.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, US, UY, VE"
Gremlins 2: The New Batch,movie,"Comedy, Fantasy, Horror",1990.0,6.4,115458.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
Godzilla,movie,"Action, Sci-Fi, Thriller",1998.0,5.4,206956.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, RS, SI, SK, SV, TC, TT, UY, VE"
Ice Age: The Meltdown,movie,"Adventure, Animation, Comedy",2006.0,6.8,303228.0,"AD, BA, BG, CZ, ES, HR, HU, MD, ME, MK, PL, PT, RO, RS, SI, SK"
Mission: Impossible,movie,"Action, Adventure, Thriller",1996.0,7.2,480782.0,"AD, DK, ES, FI, NO, PT, SE"
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000.0,6.1,385569.0,"AD, DK, ES, FI, NO, PT"
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006.0,6.9,398198.0,"AD, DK, ES, FI, NO, PT"
300,movie,"Action, Drama",2006.0,7.6,879819.0,"AD, AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, GY, HK, HN, ID, JM, LC, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UY, VE"
Superman Returns,movie,"Action, Adventure, Sci-Fi",2006.0,6.1,293972.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, US, UY, VE"
Last Days,movie,"Drama, Music",2005.0,5.7,24099.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
Elephant,movie,"Crime, Drama, Thriller",2003.0,7.1,99203.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
Superman,movie,"Action, Adventure, Sci-Fi",1978.0,7.4,192010.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, ID, JM, LC, MC, MX, MY, NI, NO, PA, PE, PH, PT, PY, SE, SG, SV, TC, TH, TT, TW, US, UY, VE"
Lara Croft: Tomb Raider,movie,"Action, Adventure, Fantasy",2001.0,5.8,222370.0,"AD, ES"
Lara Croft: Tomb Raider - The Cradle of Life,movie,"Action, Adventure, Fantasy",2003.0,5.5,146867.0,"AD, ES, PT"
Training Day,movie,"Crime, Drama, Thriller",2001.0,7.8,486404.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
"I, Robot",movie,"Action, Mystery, Sci-Fi",2004.0,7.1,588122.0,"AD, ES, PT"
Hostile Waters,movie,"Comedy, Crime, Drama",1997.0,6.3,2294.0,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, UY, VE"
Space Jam,movie,"Adventure, Animation, Comedy",1996.0,6.5,219002.0,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
