Const,Your Rating,Date Rated,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
tt2179136,4,2020-08-16,"El francotirador","American Sniper",https://www.imdb.com/title/tt2179136,Película,7.3,133,2014,"Acción, Biografía, Bélico, Drama",541902,"2015-02-20","Clint Eastwood"
tt4975722,6,2020-08-16,"Moonlight","Moonlight",https://www.imdb.com/title/tt4975722,Película,7.4,111,2016,"Drama",337887,"2017-02-10","Barry Jenkins"
tt6751668,8,2020-08-16,"Parásitos","Gisaengchung",https://www.imdb.com/title/tt6751668,Película,8.5,132,2019,"Drama, Suspense",1015654,"2019-10-25","Bong Joon Ho"
tt8946378,10,2020-08-16,"Puñales por la espalda (Knives Out)","Knives Out",https://www.imdb.com/title/tt8946378,Película,7.9,130,2019,"Crimen, Misterio, Suspense, Drama, Comedia",798701,"2019-11-29","Rian Johnson"
tt0099685,9,2020-08-16,"Uno de los nuestros","Goodfellas",https://www.imdb.com/title/tt0099685,Película,8.7,145,1990,"Biografía, Crimen, Drama",1296551,"1990-10-19","Martin Scorsese"
tt0070379,6,2020-08-16,"Malas calles","Mean Streets",https://www.imdb.com/title/tt0070379,Película,7.2,112,1973,"Suspense, Crimen, Drama",122405,"1977-12-24","Martin Scorsese"
tt0482571,9,2020-08-16,"El truco final (El prestigio)","The Prestige",https://www.imdb.com/title/tt0482571,Película,8.5,130,2006,"Drama, Suspense, Misterio, Ciencia ficción",1483096,"2007-01-12","Christopher Nolan"
tt1596363,7,2020-08-16,"La gran apuesta","The Big Short",https://www.imdb.com/title/tt1596363,Película,7.8,130,2015,"Drama, Biografía, Comedia, Historia",499831,"2016-01-22","Adam McKay"
tt0268978,8,2020-08-16,"Una mente maravillosa","A Beautiful Mind",https://www.imdb.com/title/tt0268978,Película,8.2,135,2001,"Biografía, Misterio, Drama",1007750,"2002-02-22","Ron Howard"
tt0407887,8,2020-08-16,"Infiltrados","The Departed",https://www.imdb.com/title/tt0407887,Película,8.5,151,2006,"Crimen, Drama, Suspense",1459293,"2006-10-27","Martin Scorsese"
tt0264464,9,2020-08-16,"Atrápame si puedes","Catch Me If You Can",https://www.imdb.com/title/tt0264464,Película,8.1,141,2002,"Drama, Biografía, Crimen",1135389,"2003-01-24","Steven Spielberg"
